FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160417;0000;;;;
160418;0000;25,2259;;;
160419;0000;;;;
160420;0000;55,2562;;;
160421;0000;69,1027;;;
160422;0000;50,9389;;;
160423;0000;;;;
160424;0000;;;;
160425;0000;64,7803;;;
160426;0000;65,8367;;;
160427;0000;95,6639;;;
160428;0000;113,197;;;
160429;0000;75,0132;;;
160430;0000;50,6385;;;
160501;0000;24,7529;;;
160502;0000;57,0728;;;
160503;0000;69,999;;;
160504;0000;44,0129;;;
160505;0000;12,4239;;;
160506;0000;61,935;;;
160507;0000;33,4801;;;
160508;0000;16,4275;;;
160509;0000;38,4301;;;
160510;0000;51,5933;;;
160511;0000;57,7513;;;
160512;0000;116,051;;;
160513;0000;122,338;;;
160514;0000;81,3184;;;
160515;0000;49,3808;;;
160516;0000;59,8986;;;
160517;0000;;;;
160518;0000;;;;
160519;0000;97,0757;;;
160520;0000;72,0938;;;
160521;0000;73,2231;;;
160522;0000;66,1675;;;
160523;0000;83,6204;;;
160524;0000;102,978;;;
160525;0000;80,4126;;;
160526;0000;103,002;;;
160527;0000;121,554;;;
160528;0000;98,8326;;;
160529;0000;38,9363;;;
160530;0000;46,3786;;;
160531;0000;45,3384;;;
160601;0000;67,5879;;;
160602;0000;76,3817;;;
160603;0000;49,8153;;;
160604;0000;18,3215;;;
160605;0000;48,4953;;;
160606;0000;78,13;;;
160607;0000;79,173;;;
160608;0000;;;;
160609;0000;101,553;;;
160610;0000;132,201;;;
160611;0000;84,543;;;
160612;0000;58,0252;;;
160613;0000;86,6333;;;
160614;0000;145,337;;;
160615;0000;152,748;;;
160616;0000;114,571;;;
160617;0000;116,876;;;
160618;0000;92,7773;;;
160619;0000;35,8939;;;
160620;0000;69,7603;;;
160621;0000;118,875;;;
160622;0000;121,72;;;
160623;0000;90,2747;;;
160624;0000;68,2942;;;
160625;0000;84,3885;;;
160626;0000;58,0286;;;
160627;0000;64,4316;;;
160628;0000;142,595;;;
160629;0000;76,6346;;;
160630;0000;219,278;;;
160701;0000;200,088;;;
160702;0000;105,741;;;
160703;0000;46,6047;;;
160704;0000;97,2917;;;
160705;0000;121,879;;;
160706;0000;122,932;;;
160707;0000;168,173;;;
160708;0000;107,757;;;
160709;0000;145,366;;;
160710;0000;81,9445;;;
160711;0000;36,605;;;
160712;0000;137,046;;;
160713;0000;54,6885;;;
160714;0000;32,4388;;;
160715;0000;102;;;
160716;0000;106,524;;;
160717;0000;61,4811;;;
160718;0000;93,8154;;;
160719;0000;100,208;;;
160720;0000;90,4135;;;
160721;0000;112,23;;;
160722;0000;77,1;;;
160723;0000;101,561;;;
160724;0000;64,8429;;;
160725;0000;43,0194;;;
160726;0000;108,659;;;
160727;0000;113,528;;;
160728;0000;88,5251;;;
160729;0000;73,4309;;;
160730;0000;54,9968;;;
160731;0000;27,4865;;;
160801;0000;76,6278;;;
160802;0000;99,3221;;;
160803;0000;96,2675;;;
160804;0000;87,2638;;;
160805;0000;82,5334;;;
160806;0000;73,0895;;;
160807;0000;65,8868;;;
160808;0000;66,2179;;;
160809;0000;93,7122;;;
160810;0000;76,2244;;;
160811;0000;39,6907;;;
160812;0000;65,6393;;;
160813;0000;51,0265;;;
160814;0000;52,1826;;;
160815;0000;37,658;;;
160816;0000;39,2736;;;
160817;0000;31,441;;;
160818;0000;42,9001;;;
160819;0000;42,7265;;;
160820;0000;33,7152;;;
160821;0000;39,4602;;;
160822;0000;60,8081;;;
160823;0000;33,0992;;;
160824;0000;24,8558;;;
160825;0000;54,1513;;;
160826;0000;25,6921;;;
160827;0000;22,096;;;
160828;0000;12,1511;;;
160829;0000;51,0891;;;
160830;0000;51,4756;;;
160831;0000;18,6111;;;
160901;0000;25,614;;;
160902;0000;48,3219;;;
160903;0000;37,611;;;
160904;0000;19,9678;;;
160905;0000;53,131;;;
160906;0000;64,7354;;;
160907;0000;52,1711;;;
160908;0000;54,4492;;;
160909;0000;69,2491;;;
160910;0000;23,1476;;;
160911;0000;1,44878;;;
160912;0000;13,2206;;;
160913;0000;50,0276;;;
160914;0000;39,4431;;;
160915;0000;27,4405;;;
160916;0000;38,5813;;;
160917;0000;17,9371;;;
160918;0000;22,2194;;;
160919;0000;19,7981;;;
160920;0000;36,2184;;;
160921;0000;34,6268;;;
160922;0000;34,0262;;;
160923;0000;41,0311;;;
160924;0000;19,8202;;;
160925;0000;10,7218;;;
160926;0000;32,0024;;;
160927;0000;30,5548;;;
160928;0000;33,4416;;;
160929;0000;2,16087;;;
160930;0000;30,1895;;;
161001;0000;26,3597;;;
161002;0000;20,2354;;;
161003;0000;22,3371;;;
161004;0000;12,7457;;;
161005;0000;35,8055;;;
161006;0000;31,7553;;;
161007;0000;24,353;;;
161008;0000;21,1818;;;
161009;0000;10,1865;;;
161010;0000;12,1557;;;
161011;0000;22,188;;;
161012;0000;27,6435;;;
161013;0000;20,4657;;;
161014;0000;25,2496;;;
161015;0000;20,3777;;;
161016;0000;1,59149;;;
161017;0000;8,56544;;;
161018;0000;7,41753;;;
161019;0000;25,2684;;;
161020;0000;38,067;;;
161021;0000;23,2185;;;
161022;0000;5,79479;;;
161023;0000;2,67118;;;
161024;0000;7,55226;;;
161025;0000;23,7304;;;
161026;0000;29,7416;;;
161027;0000;19,5847;;;
161028;0000;13,015;;;
161029;0000;4,1618;;;
161030;0000;3,48785;;;
161031;0000;3,03629;;;
161101;0000;8,15308;;;
161102;0000;29,3278;;;
161103;0000;23,1263;;;
161104;0000;18,9177;;;
161105;0000;18,5965;;;
161106;0000;9,42795;;;
161107;0000;14,3001;;;
161108;0000;12,8064;;;
161109;0000;11,3501;;;
161110;0000;15,8844;;;
161111;0000;14,9891;;;
161112;0000;13,6465;;;
161113;0000;2,60312;;;
161114;0000;14,9448;;;
161115;0000;17,0487;;;
161116;0000;22,7727;;;
161117;0000;26,9825;;;
161118;0000;18,0014;;;
161119;0000;5,13941;;;
161120;0000;1,62257;;;
161121;0000;9,36314;;;
161122;0000;6,78855;;;
161123;0000;5,67309;;;
161124;0000;12,1892;;;
161125;0000;6,29757;;;
161126;0000;3,36216;;;
161127;0000;4,71701;;;
161128;0000;16,5156;;;
161129;0000;11,2374;;;
161130;0000;12,4464;;;
161201;0000;8,17117;;;
161202;0000;8,99706;;;
161203;0000;5,56928;;;
161204;0000;1,01799;;;
161205;0000;5,09914;;;
161206;0000;16,6921;;;
161207;0000;10,3575;;;
161208;0000;5,38351;;;
161209;0000;10,1869;;;
161210;0000;17,7696;;;
161211;0000;12,0828;;;
161212;0000;15,6255;;;
161213;0000;29,4163;;;
161214;0000;19,7016;;;
161215;0000;7,58583;;;
161216;0000;6,73605;;;
161217;0000;2,97292;;;
161218;0000;3,16644;;;
161219;0000;9,02998;;;
161220;0000;12,764;;;
161221;0000;9,49654;;;
161222;0000;7,98646;;;
161223;0000;13,0314;;;
161224;0000;6,89786;;;
161225;0000;1,0099;;;
161226;0000;4,221;;;
161227;0000;17,3469;;;
161228;0000;12,6683;;;
161229;0000;11,7243;;;
161230;0000;5,20128;;;
161231;0000;1,77465;;;
170101;0000;7,66708;;;
170102;0000;7,6621;;;
170103;0000;9,63548;;;
170104;0000;12,7605;;;
170105;0000;11,2358;;;
170106;0000;9,30775;;;
170107;0000;5,54884;;;
170108;0000;4,26771;;;
170109;0000;5,82989;;;
170110;0000;6,93438;;;
170111;0000;10,2087;;;
170112;0000;11,0873;;;
170113;0000;11,642;;;
170114;0000;9,66638;;;
170115;0000;5,76546;;;
170116;0000;8,54745;;;
170117;0000;7,18461;;;
170118;0000;8,21545;;;
170119;0000;10,2622;;;
170120;0000;;;;
170121;0000;;;;
170122;0000;;;;
170123;0000;;;;
170124;0000;;;;
170125;0000;;;;
170126;0000;;;;
170127;0000;7,44871;;;
170128;0000;;;;
170129;0000;4,01164;;;
170130;0000;4,90111;;;
170131;0000;9,89851;;;
170201;0000;8,00909;;;
170202;0000;6,72832;;;
170203;0000;;;;
170204;0000;;;;
170205;0000;7,50341;;;
170206;0000;11,3485;;;
170207;0000;14,4029;;;
170208;0000;6,14273;;;
170209;0000;15,4859;;;
170210;0000;16,3579;;;
170211;0000;;;;
170212;0000;;;;
170213;0000;13,5869;;;
170214;0000;15,0596;;;
170215;0000;14,8041;;;
170216;0000;;;;
170217;0000;;;;
170218;0000;10,0541;;;
170219;0000;;;;
170220;0000;13,4995;;;
170221;0000;15,3737;;;
170222;0000;13,7432;;;
170223;0000;11,9552;;;
170224;0000;9,4734;;;
170225;0000;8,79903;;;
170226;0000;6,78319;;;
170227;0000;15,9769;;;
170228;0000;14,4275;;;
170301;0000;12,2591;;;
170302;0000;9,83014;;;
170303;0000;13,7245;;;
170304;0000;12,4492;;;
170305;0000;16,8119;;;
170306;0000;29,8566;;;
170307;0000;25,2742;;;
170308;0000;24,5517;;;
170309;0000;13,196;;;
170310;0000;28,1047;;;
170311;0000;26,1612;;;
170312;0000;36,8844;;;
170313;0000;31,644;;;
170314;0000;6,6259;;;
170315;0000;30,2022;;;
170316;0000;20,6491;;;
170317;0000;30,701;;;
170318;0000;25,942;;;
170319;0000;11,9815;;;
170320;0000;27,5344;;;
170321;0000;28,7804;;;
170322;0000;41,9424;;;
170323;0000;38,9681;;;
170324;0000;4,91928;;;
170325;0000;5,01012;;;
170326;0000;17,646;;;
170327;0000;31,7396;;;
170328;0000;30,4788;;;
170329;0000;20,6985;;;
170330;0000;31,228;;;
170331;0000;33,8823;;;
170401;0000;27,4877;;;
170402;0000;28,3402;;;
170403;0000;38,0018;;;
170404;0000;38,1913;;;
170405;0000;44,1342;;;
170406;0000;34,5363;;;
170407;0000;9,12369;;;
170408;0000;17,6331;;;
170409;0000;24,0022;;;
170410;0000;62,8732;;;
170411;0000;43,8155;;;
170412;0000;46,846;;;
170413;0000;47,8837;;;
170414;0000;22,3353;;;
170415;0000;30,9758;;;
170416;0000;25,1025;;;
170417;0000;34,2742;;;
170418;0000;18,8892;;;
170419;0000;21,6683;;;
170420;0000;23,4757;;;
170421;0000;45,9665;;;
170422;0000;59,047;;;
170423;0000;41,9042;;;
170424;0000;;;;
170425;0000;;;;
170426;0000;67,2506;;;
170427;0000;83,1904;;;
170428;0000;85,4589;;;
170429;0000;74,8008;;;
170430;0000;;;;
170501;0000;;;;
170502;0000;35,0172;;;
170503;0000;76,0579;;;
170504;0000;87,1556;;;
170505;0000;49,4006;;;
170506;0000;;;;
170507;0000;;;;
170508;0000;47,8721;;;
170509;0000;70,1718;;;
170510;0000;36,768;;;
170511;0000;;;;
170512;0000;;;;
170513;0000;;;;
170514;0000;;;;
170515;0000;54,8809;;;
170516;0000;52,9763;;;
170517;0000;45,2799;;;
170518;0000;;;;
170519;0000;62,8175;;;
170520;0000;59,9101;;;
170521;0000;64,0632;;;
170522;0000;103,619;;;
170523;0000;107,466;;;
170524;0000;79,6166;;;
170525;0000;;;;
170526;0000;84,2526;;;
170527;0000;62,5522;;;
170528;0000;;;;
170529;0000;69,3492;;;
170530;0000;73,1957;;;
170531;0000;86,0311;;;
170601;0000;90,1367;;;
170602;0000;53,9499;;;
170603;0000;62,3181;;;
170604;0000;;;;
170605;0000;81,9991;;;
170606;0000;97,8918;;;
170607;0000;111,836;;;
170608;0000;;;;
170609;0000;130,409;;;
170610;0000;113,386;;;
170611;0000;90,701;;;
170612;0000;107,192;;;
170613;0000;134,63;;;
170614;0000;98,8956;;;
170615;0000;131,648;;;
170616;0000;31,9359;;;
170617;0000;16,5798;;;
170618;0000;59,5305;;;
170619;0000;213,416;;;
170620;0000;217,676;;;
170621;0000;211,482;;;
170622;0000;64,8989;;;
170623;0000;92,8724;;;
170624;0000;76,2115;;;
170625;0000;39,7904;;;
170626;0000;21,5044;;;
170627;0000;77,2559;;;
170628;0000;102,242;;;
170629;0000;102,538;;;
170630;0000;106,425;;;
170701;0000;110,845;;;
170702;0000;72,9974;;;
170703;0000;21,2893;;;
170704;0000;50,8305;;;
170705;0000;169,135;;;
170706;0000;175,106;;;
170707;0000;144,271;;;
170708;0000;113,741;;;
170709;0000;77,9346;;;
170710;0000;105,668;;;
170711;0000;102,357;;;
170712;0000;80,6487;;;
170713;0000;33,1531;;;
170714;0000;32,7115;;;
170715;0000;;;;
170716;0000;;;;
170717;0000;114,455;;;
170718;0000;;;;
170719;0000;;;;
170720;0000;106,291;;;
170721;0000;79,9094;;;
170722;0000;38,4349;;;
170723;0000;64,5668;;;
170724;0000;78,7114;;;
170725;0000;114,24;;;
170726;0000;125,249;;;
170727;0000;109,24;;;
170728;0000;129,253;;;
170729;0000;75,9774;;;
170730;0000;63,2061;;;
170731;0000;88,877;;;
170801;0000;28,0049;;;
170802;0000;86,3157;;;
170803;0000;;;;
170804;0000;50,464;;;
170805;0000;41,4736;;;
170806;0000;69,6791;;;
170807;0000;61,7968;;;
170808;0000;91,1283;;;
170809;0000;83,3158;;;
170810;0000;18,0542;;;
170811;0000;23,1521;;;
170812;0000;44,9036;;;
170813;0000;31,7201;;;
170814;0000;51,4373;;;
170815;0000;57,9098;;;
170816;0000;101,23;;;
170817;0000;63,7035;;;
170818;0000;49,5125;;;
170819;0000;36,3187;;;
170820;0000;42,2423;;;
170821;0000;64,3148;;;
170822;0000;59,8334;;;
170823;0000;22,5333;;;
170824;0000;14,7148;;;
170825;0000;46,4082;;;
170826;0000;46,5007;;;
170827;0000;18,8201;;;
170828;0000;15,7568;;;
170829;0000;37,6633;;;
170830;0000;83,7632;;;
170831;0000;65,8386;;;
170901;0000;22,4363;;;
170902;0000;23,7321;;;
170903;0000;5,9891;;;
170904;0000;50,1459;;;
170905;0000;61,7904;;;
170906;0000;65,7079;;;
170907;0000;41,2596;;;
170908;0000;15,8758;;;
170909;0000;35,5918;;;
170910;0000;17,0081;;;
170911;0000;64,7856;;;
170912;0000;36,7386;;;
170913;0000;5,00118;;;
170914;0000;26,6614;;;
170915;0000;50,2303;;;
170916;0000;28,7932;;;
170917;0000;11,9262;;;
170918;0000;12,2818;;;
170919;0000;1,12344;;;
170920;0000;12,7939;;;
170921;0000;21,9403;;;
170922;0000;35,8002;;;
170923;0000;17,0854;;;
170924;0000;9,60023;;;
170925;0000;33,2482;;;
170926;0000;47,0754;;;
170927;0000;36,1464;;;
170928;0000;19,8655;;;
170929;0000;24,5587;;;
170930;0000;18,0666;;;
171001;0000;8,87434;;;
171002;0000;29,8691;;;
171003;0000;33,0176;;;
171004;0000;;;;
171005;0000;6,63965;;;
171006;0000;33,9716;;;
171007;0000;25,8649;;;
171008;0000;8,34305;;;
171009;0000;12,9413;;;
171010;0000;14,3173;;;
171011;0000;10,9186;;;
171012;0000;10,9823;;;
171013;0000;22,7696;;;
171014;0000;18,4545;;;
171015;0000;21,9138;;;
171016;0000;11,4873;;;
171017;0000;19,8352;;;
171018;0000;11,9564;;;
171019;0000;17,1017;;;
171020;0000;17,0651;;;
171021;0000;33,5031;;;
171022;0000;12,9227;;;
171023;0000;20,3726;;;
171024;0000;16,2066;;;
171025;0000;14,4144;;;
