FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150722;0000;162,679;;;
150723;0000;151,096;;;
150724;0000;170,567;;;
150725;0000;177,768;;;
150726;0000;100,412;;;
150727;0000;84,5049;;;
150728;0000;124,506;;;
150729;0000;159,304;;;
150730;0000;77,5284;;;
150731;0000;121,4;;;
150801;0000;171,39;;;
150802;0000;91,2198;;;
150803;0000;195,927;;;
150804;0000;99,3031;;;
150805;0000;57,5991;;;
150806;0000;49,8421;;;
150807;0000;103,07;;;
150808;0000;46,9209;;;
150809;0000;19,5932;;;
150810;0000;36,0503;;;
150811;0000;86,1396;;;
150812;0000;108,882;;;
150813;0000;91,7214;;;
150814;0000;69,1719;;;
150815;0000;63,1382;;;
150816;0000;42,9035;;;
150817;0000;42,8586;;;
150818;0000;108,395;;;
150819;0000;102,353;;;
150820;0000;78,7388;;;
150821;0000;19,5586;;;
150822;0000;32,8957;;;
150823;0000;65,0115;;;
150824;0000;116,169;;;
150825;0000;35,9477;;;
150826;0000;45,1722;;;
150827;0000;157,02;;;
150828;0000;144,747;;;
150829;0000;79,0408;;;
150830;0000;56,4429;;;
150831;0000;78,2845;;;
150901;0000;82,5724;;;
150902;0000;79,0892;;;
150903;0000;95,9048;;;
150904;0000;94,7965;;;
150905;0000;;;;
150906;0000;;;;
150907;0000;;;;
150908;0000;;;;
150909;0000;;;;
150910;0000;;;;
150911;0000;;;;
150912;0000;;;;
150913;0000;;;;
150914;0000;;;;
150915;0000;;;;
150916;0000;71,8516;;;
150917;0000;18,6064;;;
150918;0000;26,0971;;;
150919;0000;32,7909;;;
150920;0000;23,4156;;;
150921;0000;13,3684;;;
150922;0000;16,7996;;;
150923;0000;41,2991;;;
150924;0000;35,7207;;;
150925;0000;70,5179;;;
150926;0000;56,4026;;;
150927;0000;52,0471;;;
150928;0000;59,9185;;;
150929;0000;52,0955;;;
150930;0000;39,703;;;
151001;0000;14,0433;;;
151002;0000;45,4104;;;
151003;0000;44,9566;;;
151004;0000;11,1086;;;
151005;0000;21,9252;;;
151006;0000;20,8429;;;
151007;0000;26,7599;;;
151008;0000;50,3185;;;
151009;0000;47,7286;;;
151010;0000;34,2742;;;
151011;0000;23,7312;;;
151012;0000;23,0785;;;
151013;0000;29,3833;;;
151014;0000;16,0715;;;
151015;0000;32,7875;;;
151016;0000;64,0977;;;
151017;0000;52,9316;;;
151018;0000;25,5645;;;
151019;0000;26,2571;;;
151020;0000;40,0035;;;
151021;0000;28,6209;;;
151022;0000;40,106;;;
151023;0000;39,1824;;;
151024;0000;27,938;;;
151025;0000;18,9784;;;
151026;0000;28,044;;;
151027;0000;37,9122;;;
151028;0000;19,4874;;;
151029;0000;24,74;;;
151030;0000;25,1165;;;
151031;0000;29,8071;;;
151101;0000;19,355;;;
151102;0000;14,1346;;;
151103;0000;19,2732;;;
151104;0000;23,001;;;
151105;0000;32,0228;;;
151106;0000;26,7035;;;
151107;0000;19,484;;;
151108;0000;13,2365;;;
151109;0000;14,8979;;;
151110;0000;17,9327;;;
151111;0000;8,01112;;;
151112;0000;21,1582;;;
151113;0000;32,7587;;;
151114;0000;28,9319;;;
151115;0000;13,1874;;;
151116;0000;15,9451;;;
151117;0000;13,0579;;;
151118;0000;11,4302;;;
151119;0000;13,343;;;
151120;0000;32,3833;;;
151121;0000;21,4648;;;
151122;0000;10,9378;;;
151123;0000;16,1535;;;
151124;0000;14,2142;;;
151125;0000;14,6143;;;
151126;0000;18,9529;;;
151127;0000;19,5911;;;
151128;0000;23,8834;;;
151129;0000;16,8319;;;
151130;0000;22,2721;;;
151201;0000;17,8383;;;
151202;0000;12,7761;;;
151203;0000;24,7572;;;
151204;0000;30,2355;;;
151205;0000;20,3454;;;
151206;0000;12,4527;;;
151207;0000;21,7405;;;
151208;0000;11,3141;;;
151209;0000;;;;
151210;0000;26,2997;;;
151211;0000;;;;
151212;0000;;;;
151213;0000;;;;
151214;0000;;;;
151215;0000;;;;
151216;0000;;;;
151217;0000;;;;
151218;0000;;;;
151219;0000;24,5709;;;
151220;0000;15,0868;;;
151221;0000;14,8184;;;
151222;0000;24,7222;;;
151223;0000;23,668;;;
151224;0000;35,3715;;;
151225;0000;22,6944;;;
151226;0000;21,2546;;;
151227;0000;22,8368;;;
151228;0000;27,6493;;;
151229;0000;22,6465;;;
151230;0000;19,4815;;;
151231;0000;20,9803;;;
160101;0000;14,6854;;;
160102;0000;8,90759;;;
160103;0000;12,9098;;;
160104;0000;25,8026;;;
160105;0000;29,5571;;;
160106;0000;19,1207;;;
160107;0000;11,7785;;;
160108;0000;11,4903;;;
160109;0000;16,2262;;;
160110;0000;13,8043;;;
160111;0000;10,5928;;;
160112;0000;10,3286;;;
160113;0000;27,1168;;;
160114;0000;13,5548;;;
160115;0000;18,7481;;;
160116;0000;21,8033;;;
160117;0000;18,8259;;;
160118;0000;20,5999;;;
160119;0000;15,2527;;;
160120;0000;25,5588;;;
160121;0000;13,0612;;;
160122;0000;19,2827;;;
160123;0000;9,98334;;;
160124;0000;9,01065;;;
160125;0000;46,1281;;;
160126;0000;28,1859;;;
160127;0000;25,7472;;;
160128;0000;27,9799;;;
160129;0000;29,3852;;;
160130;0000;27,1083;;;
160131;0000;17,2623;;;
