FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
151116;0000;9,34392;;;
151117;0000;7,56298;;;
151118;0000;7,16405;;;
151119;0000;8,73157;;;
151120;0000;17,5112;;;
151121;0000;11,4459;;;
151122;0000;8,39392;;;
151123;0000;8,62674;;;
151124;0000;7,27675;;;
151125;0000;7,02192;;;
151126;0000;8,27289;;;
151127;0000;9,53288;;;
151128;0000;11,7781;;;
151129;0000;9,7467;;;
151130;0000;12,9435;;;
151201;0000;12,7454;;;
151202;0000;7,28944;;;
151203;0000;13,1843;;;
151204;0000;16,2509;;;
151205;0000;13,0023;;;
151206;0000;9,07835;;;
151207;0000;11,3022;;;
151208;0000;7,29528;;;
151209;0000;;;;
151210;0000;14,1882;;;
151211;0000;;;;
151212;0000;;;;
151213;0000;;;;
151214;0000;;;;
151215;0000;;;;
151216;0000;;;;
151217;0000;;;;
151218;0000;;;;
151219;0000;15,4632;;;
151220;0000;8,65335;;;
151221;0000;8,79285;;;
151222;0000;11,9306;;;
151223;0000;12,3472;;;
151224;0000;18,9016;;;
151225;0000;12,1528;;;
151226;0000;14,7743;;;
151227;0000;13,3715;;;
151228;0000;16,0289;;;
151229;0000;11,9458;;;
151230;0000;10,0949;;;
151231;0000;9,90047;;;
160101;0000;7,718;;;
160102;0000;6,14255;;;
160103;0000;8,37543;;;
160104;0000;15,9275;;;
160105;0000;21,4756;;;
160106;0000;14,312;;;
160107;0000;7,76308;;;
160108;0000;7,95778;;;
160109;0000;10,132;;;
160110;0000;7,90731;;;
160111;0000;5,57147;;;
160112;0000;7,32889;;;
160113;0000;12,8609;;;
160114;0000;8,65849;;;
160115;0000;10,9759;;;
160116;0000;11,5645;;;
160117;0000;9,27486;;;
160118;0000;11,765;;;
160119;0000;10,901;;;
160120;0000;14,2738;;;
160121;0000;8,36671;;;
160122;0000;12,1068;;;
160123;0000;7,26715;;;
160124;0000;5,79468;;;
160125;0000;22,435;;;
160126;0000;13,2469;;;
160127;0000;14,6536;;;
160128;0000;18,13;;;
160129;0000;14,308;;;
160130;0000;14,4194;;;
160131;0000;9,98682;;;
160201;0000;11,1383;;;
160202;0000;10,5503;;;
160203;0000;11,6953;;;
160204;0000;6,58497;;;
160205;0000;;;;
160206;0000;;;;
160207;0000;;;;
160208;0000;;;;
160209;0000;;;;
160210;0000;9,72438;;;
160211;0000;10,6395;;;
160212;0000;7,9431;;;
160213;0000;;;;
160214;0000;;;;
160215;0000;;;;
160216;0000;;;;
160217;0000;;;;
160218;0000;9,84592;;;
160219;0000;11,9859;;;
160220;0000;12,8993;;;
160221;0000;;;;
160222;0000;11,3656;;;
160223;0000;13,2821;;;
160224;0000;16,4203;;;
160225;0000;11,239;;;
160226;0000;11,4097;;;
160227;0000;13,0038;;;
160228;0000;;;;
160229;0000;14,5171;;;
160301;0000;14,0801;;;
160302;0000;15,71;;;
160303;0000;17,3328;;;
160304;0000;17,5325;;;
160305;0000;12,5674;;;
160306;0000;5,61815;;;
160307;0000;6,27132;;;
160308;0000;11,871;;;
160309;0000;16,4089;;;
160310;0000;15,0091;;;
160311;0000;14,9178;;;
160312;0000;12,1533;;;
160313;0000;12,5249;;;
160314;0000;14,8002;;;
160315;0000;15,0791;;;
160316;0000;14,2754;;;
160317;0000;7,3033;;;
160318;0000;13,7596;;;
160319;0000;12,0557;;;
160320;0000;11,3096;;;
160321;0000;16,6582;;;
160322;0000;16,0581;;;
160323;0000;12,4663;;;
160324;0000;14,8625;;;
160325;0000;14,7636;;;
160326;0000;11,693;;;
160327;0000;10,5057;;;
160328;0000;14,9403;;;
160329;0000;13,559;;;
160330;0000;11,7865;;;
160331;0000;18,1859;;;
160401;0000;13,9683;;;
160402;0000;8,84956;;;
160403;0000;;;;
160404;0000;12,9672;;;
160405;0000;20,1006;;;
160406;0000;;;;
160407;0000;10,9607;;;
160408;0000;12,1076;;;
160409;0000;9,71219;;;
160410;0000;8,92528;;;
160411;0000;12,8754;;;
160412;0000;7,5404;;;
160413;0000;21,891;;;
160414;0000;9,95984;;;
160415;0000;;;;
160416;0000;;;;
160417;0000;;;;
160418;0000;6,07889;;;
160419;0000;;;;
160420;0000;12,7434;;;
160421;0000;18,4293;;;
160422;0000;12,4058;;;
160423;0000;;;;
160424;0000;;;;
160425;0000;10,9435;;;
160426;0000;12,0828;;;
160427;0000;23,8737;;;
160428;0000;32,2021;;;
160429;0000;24,9163;;;
160430;0000;19,9375;;;
160501;0000;14,1133;;;
160502;0000;18,1039;;;
160503;0000;18,4815;;;
160504;0000;18,6938;;;
160505;0000;9,80363;;;
160506;0000;16,5576;;;
160507;0000;9,66365;;;
160508;0000;7,39639;;;
160509;0000;12,6055;;;
160510;0000;14,388;;;
160511;0000;11,9377;;;
160512;0000;24,5493;;;
160513;0000;22,3058;;;
160514;0000;13,6662;;;
160515;0000;10,0425;;;
160516;0000;13,6156;;;
160517;0000;;;;
160518;0000;;;;
160519;0000;22,0116;;;
160520;0000;26,1844;;;
160521;0000;14,6502;;;
160522;0000;21,3753;;;
160523;0000;32,4995;;;
160524;0000;34,7526;;;
160525;0000;28,4462;;;
160526;0000;33,8727;;;
160527;0000;44,1754;;;
160528;0000;43,1375;;;
160529;0000;22,5484;;;
160530;0000;24,0539;;;
160531;0000;20,0887;;;
160601;0000;19,8911;;;
160602;0000;23,4396;;;
160603;0000;21,8634;;;
160604;0000;16,7141;;;
160605;0000;17,2297;;;
160606;0000;24,3293;;;
160607;0000;25,0238;;;
160608;0000;;;;
160609;0000;29,0916;;;
160610;0000;42,2409;;;
160611;0000;35,8302;;;
160612;0000;33,0055;;;
160613;0000;27,2099;;;
160614;0000;29,0327;;;
160615;0000;39,173;;;
160616;0000;39,2022;;;
160617;0000;44,1637;;;
160618;0000;42,5446;;;
160619;0000;25,8035;;;
160620;0000;34,302;;;
160621;0000;38,8653;;;
160622;0000;48,5533;;;
160623;0000;38,1686;;;
160624;0000;28,2537;;;
160625;0000;28,5517;;;
160626;0000;22,2267;;;
160627;0000;25,2482;;;
160628;0000;48,1385;;;
160629;0000;28,7178;;;
160630;0000;51,4248;;;
160701;0000;58,5759;;;
160702;0000;35,0027;;;
160703;0000;23,549;;;
160704;0000;27,6144;;;
160705;0000;32,4166;;;
160706;0000;39,7247;;;
160707;0000;61,6367;;;
160708;0000;43,6423;;;
160709;0000;47,5473;;;
160710;0000;34,2591;;;
160711;0000;15,771;;;
160712;0000;30,1169;;;
160713;0000;23,7025;;;
160714;0000;19,2807;;;
160715;0000;30,1249;;;
160716;0000;39,7517;;;
160717;0000;24,9263;;;
160718;0000;36,6985;;;
