FECHA (YYMMDD);HORA (HHMM);;,
150117;1300;34,8333;
150117;1400;32,8333;
150117;1500;35,0833;
150117;1600;37,8333;
150117;1700;40,8333;
150117;1800;44,25;
150117;1900;50,5833;
150117;2000;56;,
150117;2100;59,8333;
150117;2200;64,9166;
150117;2300;69,9166;
150118;0000;73,3333;
150118;0100;75,8333;
150118;0200;77,6666;
150118;0300;78,3333;
150118;0400;80;,
150118;0500;80,25;
150118;0600;79,25;
150118;0700;67,5;
150118;0800;61,25;
150118;0900;56,1667;
150118;1000;53,5833;
150118;1100;53,9167;
150118;1200;55,1667;
150118;1300;54,9167;
150118;1400;54,25;
150118;1500;55,1667;
150118;1600;54,5833;
150118;1700;56;,
150118;1800;59,75;
150118;1900;67,5;
150118;2000;73,4166;
150118;2100;76,5;
150118;2200;78,1666;
150118;2300;80,5;
150119;0000;81,6666;
150119;0100;82,8333;
150119;0200;83,1667;
150119;0300;82,4167;
150119;0400;80,5;
150119;0500;79,6666;
150119;0600;80,25;
150119;0700;82,25;
150119;0800;83,75;
150119;0900;80,5;
150119;1000;76,3333;
150119;1100;76,1666;
150119;1200;73,8333;
150119;1300;66,5833;
150119;1400;55,5833;
150119;1500;47,8333;
150119;1600;50,3333;
150119;1700;53,9167;
150119;1800;57,75;
150119;1900;63,75;
150119;2000;69,5;
150119;2100;73,8333;
150119;2200;76,5;
150119;2300;79,0833;
150120;0000;81,25;
150120;0100;84;,
150120;0200;85,1667;
150120;0300;85,25;
150120;0400;83,8333;
150120;0500;82,75;
150120;0600;81,5833;
150120;0700;78,9166;
150120;0800;76,0833;
150120;0900;72,8333;
150120;1000;63,75;
150120;1100;55,8333;
150120;1200;50,6667;
150120;1300;44,3333;
150120;1400;42,75;
150120;1500;43,5833;
150120;1600;42,9167;
150120;1700;43,75;
150120;1800;48,1667;
150120;1900;55,1667;
150120;2000;62,3333;
150120;2100;66,3333;
150120;2200;69,3333;
150120;2300;70,9166;
150121;0000;73,25;
150121;0100;75,1666;
150121;0200;76,8333;
150121;0300;78,25;
150121;0400;80;,
150121;0500;80,5833;
150121;0600;81,9091;
150121;0700;73,6666;
150121;0800;68,3333;
150121;0900;62,25;
150121;1000;57,9167;
150121;1100;52,5833;
150121;1200;49,25;
150121;1300;45,9167;
150121;1400;42,75;
150121;1500;42,8333;
150121;1600;43,9167;
150121;1700;45,0833;
150121;1800;48,1667;
150121;1900;54,9167;
150121;2000;60,75;
150121;2100;64,1666;
150121;2200;66,9166;
150121;2300;69,9166;
150122;0000;72,5833;
150122;0100;73,9166;
150122;0200;75,6666;
150122;0300;77,4166;
150122;0400;78,75;
150122;0500;79;,
150122;0600;79,6666;
150122;0700;70,1666;
150122;0800;64;,
150122;0900;57,5833;
150122;1000;50,5;
150122;1100;46,0833;
150122;1200;44,25;
150122;1300;39,5;
150122;1400;35,8333;
150122;1500;36,9167;
150122;1600;37,4167;
150122;1700;40,3333;
150122;1800;45,3333;
150122;1900;51,4167;
150122;2000;56,4167;
150122;2100;60,0833;
150122;2200;62,25;
150122;2300;64,8333;
150123;0000;66,3333;
150123;0100;67,9166;
150123;0200;70,1666;
150123;0300;72,6666;
150123;0400;75;,
150123;0500;76,75;
150123;0600;75,3333;
150123;0700;62,8333;
150123;0800;53,1667;
150123;0900;47,25;
150123;1000;40,8333;
150123;1100;35,6667;
150123;1200;33,1667;
150123;1300;31,8333;
150123;1400;31,4167;
150123;1500;32,5833;
150123;1600;33,1667;
150123;1700;34,8333;
150123;1800;37,25;
150123;1900;40,25;
150123;2000;44,0833;
150123;2100;45,8333;
150123;2200;50,25;
150123;2300;48,8333;
150124;0000;54,5833;
150124;0100;59,4167;
150124;0200;62,4167;
150124;0300;66;,
150124;0400;66,6666;
150124;0500;66,3333;
150124;0600;67,3333;
150124;0700;55,3333;
150124;0800;44,0833;
150124;0900;37,1667;
150124;1000;32,3333;
150124;1100;26,0833;
150124;1200;23,0833;
150124;1300;21,3333;
150124;1400;21,9167;
150124;1500;21;,
150124;1600;29,9167;
150124;1700;34,1667;
150124;1800;38,8333;
150124;1900;45,5;
150124;2000;49;,
150124;2100;52,1667;
150124;2200;54,9167;
150124;2300;58,5;
150125;0000;62,5;
150125;0100;62,75;
150125;0200;64,9166;
150125;0300;68,5;
150125;0400;70,5833;
150125;0500;70,9166;
150125;0600;71,1666;
150125;0700;58,25;
150125;0800;50,0833;
150125;0900;42,5;
150125;1000;36,0833;
